epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,40470.5,0.92379,0.88852,1.20385,0.79504,0.61145,0.68718,0.48678,1.24407,1.14428,1.6829,0.000307,0.000307,0.000307
44,41369.7,0.9296,0.89383,1.20608,0.72412,0.67286,0.69623,0.49063,1.24756,1.13031,1.68127,0.0002905,0.0002905,0.0002905
45,42263.1,0.90396,0.85177,1.1909,0.76804,0.63105,0.69689,0.48768,1.27029,1.15137,1.70225,0.000274,0.000274,0.000274
46,43155,0.91284,0.85525,1.19029,0.79,0.64416,0.71981,0.50073,1.24278,1.14546,1.68704,0.0002575,0.0002575,0.0002575
47,44063.4,0.89529,0.85123,1.18305,0.7866,0.66094,0.72222,0.49844,1.25735,1.05936,1.71964,0.000241,0.000241,0.000241
48,44965.6,0.8946,0.83427,1.17627,0.74938,0.66761,0.71062,0.50109,1.2468,1.08568,1.72442,0.0002245,0.0002245,0.0002245
49,45877.9,0.896,0.83788,1.18071,0.77921,0.65417,0.71618,0.49709,1.25661,1.08692,1.68893,0.000208,0.000208,0.000208
50,46769,0.88727,0.81329,1.16941,0.7824,0.64242,0.71307,0.5014,1.26754,1.07889,1.70972,0.0001915,0.0001915,0.0001915
51,47668,0.90714,0.75297,1.19961,0.75856,0.61666,0.68571,0.48791,1.26865,1.14902,1.70325,0.000175,0.000175,0.000175
52,48591.6,0.87645,0.71541,1.17172,0.80112,0.61949,0.70334,0.4922,1.27392,1.11405,1.73704,0.0001585,0.0001585,0.0001585
53,49491.3,0.86481,0.70379,1.16884,0.76569,0.65125,0.70255,0.48653,1.30987,1.10479,1.76249,0.000142,0.000142,0.000142
54,50370.7,0.85771,0.68148,1.16422,0.74601,0.66008,0.70627,0.49588,1.28619,1.12473,1.73322,0.0001255,0.0001255,0.0001255
55,51282.1,0.84689,0.66706,1.15931,0.79411,0.62805,0.71193,0.49567,1.28208,1.11182,1.74157,0.000109,0.000109,0.000109
56,52168.9,0.84012,0.66103,1.14999,0.75207,0.64341,0.70552,0.49478,1.29886,1.13576,1.75769,9.25e-05,9.25e-05,9.25e-05
57,53046.4,0.82796,0.64578,1.14106,0.8057,0.63027,0.71588,0.49533,1.30003,1.08732,1.76824,7.6e-05,7.6e-05,7.6e-05
58,53930.6,0.82034,0.63057,1.13949,0.77945,0.65183,0.71235,0.49926,1.29645,1.08325,1.78898,5.95e-05,5.95e-05,5.95e-05
59,54817.6,0.82176,0.63428,1.14408,0.76994,0.63958,0.70863,0.49774,1.29448,1.11439,1.77837,4.3e-05,4.3e-05,4.3e-05
60,55727.8,0.81534,0.61946,1.1342,0.78748,0.62832,0.70741,0.49537,1.29439,1.12216,1.77323,2.65e-05,2.65e-05,2.65e-05
